# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	8035
#@/user_id	current
bi 	毕	c=3 d=3.35372e-23 t=7478
bi 	逼	c=12 d=1.08996e-22 t=7478
bi 	闭	c=1 d=1.67686e-23 t=7478
bi an 	彼岸	c=1 d=1.67686e-23 t=7478
bi bei 	必备	c=1 d=1.67686e-23 t=7478
bi bu liao 	比不了	c=3 d=3.35372e-23 t=7478
bi bu shang 	比不上	c=10 d=9.22275e-23 t=7478
bi chu 	必出	c=1 d=1.67686e-23 t=7478
bi chuan 	必传	c=4 d=4.19214e-23 t=7478
bi dai 	必带	c=9 d=8.38431e-23 t=7478
bi de shang 	比得上	c=3 d=0.00293808 t=7478
bi deng 	壁灯	c=2 d=2.51529e-23 t=7478
bi ding 	必定	c=3 d=3.35372e-23 t=7478
bi dui 	比对	c=1 d=1.67686e-23 t=7478
bi fa 	必发	c=1 d=1.67686e-23 t=7478
bi guan 	闭馆	c=1 d=1.67686e-23 t=7478
bi hua 	笔画	c=1 d=1.67686e-23 t=7478
bi huan 	闭环	c=6 d=5.869e-23 t=7478
bi hui 	必会	c=1 d=1.67686e-23 t=7478
bi hui 	避讳	c=1 d=1.67686e-23 t=7478
bi ji 	笔记	c=18 d=1.59302e-22 t=7478
bi ji ben 	笔记本	c=31 d=2.68298e-22 t=7478
bi jiang 	必将	c=2 d=2.51529e-23 t=7478
bi jiao 	比较	c=651 d=0.00658427 t=7478
bi jiao duo 	比较多	c=1 d=1.67686e-23 t=7478
bi jiao hao 	比较好	c=1 d=1.67686e-23 t=7478
bi jiao jiu 	比较就	c=1 d=1.67686e-23 t=7478
bi jie 	毕节	c=3 d=3.35372e-23 t=7478
bi jing 	毕竟	c=164 d=5.58468e-09 t=7478
bi ju 	鼻疽	c=1 d=1.67686e-23 t=7478
bi kai 	避开	c=4 d=4.19214e-23 t=7478
bi lei 	避雷	c=3 d=3.35372e-23 t=7478
bi li 	比例	c=30 d=3.76546 t=7976
bi li 	笔力	c=2 d=2.51529e-23 t=7478
bi lv 	比率	c=46 d=0.242926 t=7478
bi mian 	避免	c=117 d=1 t=7595
bi neng 	必能	c=1 d=1.67686e-23 t=7478
bi ni 	比你	c=9 d=8.38431e-23 t=7478
bi qi lai 	比起来	c=1 d=1.67686e-23 t=7478
bi ran 	必然	c=6 d=5.869e-23 t=7478
bi ren 	逼人	c=1 d=1.67686e-23 t=7478
bi ru 	比如	c=643 d=1.00092 t=7627
bi ru shuo 	比如说	c=1 d=1.67686e-23 t=7478
bi sai 	比赛	c=2 d=2.51529e-23 t=7478
bi she 	必设	c=1 d=1.67686e-23 t=7478
bi she 	毕设	c=1 d=1.67686e-23 t=7478
bi shi 	笔试	c=1 d=1.67686e-23 t=7478
bi shui 	避税	c=3 d=3.35372e-23 t=7478
bi si 	必死	c=2 d=2.51529e-23 t=7478
bi te bi 	比特币	c=3 d=3.35372e-23 t=7478
bi ti 	鼻涕	c=2 d=2.51529e-23 t=7478
bi tian 	必填	c=30 d=2.59914e-22 t=7478
bi wo 	比我	c=19 d=1.67686e-22 t=7478
bi wo duo 	比我多	c=1 d=1.67686e-23 t=7478
bi wo gao 	比我高	c=1 d=1.67686e-23 t=7478
bi xian 	必现	c=36 d=3.10219e-22 t=7478
bi xu 	必须	c=166 d=1.05507e-13 t=7478
bi xu chuan 	必须穿	c=1 d=1.67686e-23 t=7478
bi xu dao 	必须到	c=1 d=1.67686e-23 t=7478
bi xu pin 	必需品	c=1 d=1.67686e-23 t=7478
bi xu shi 	必须是	c=1 d=1.67686e-23 t=7478
bi xu yao 	必须要	c=1 d=1.67686e-23 t=7478
bi xuan 	必选	c=2 d=2.51529e-23 t=7478
bi ya di 	比亚迪	c=1 d=1.67686e-23 t=7478
bi yan 	鼻炎	c=3 d=3.35372e-23 t=7478
bi yang 	逼样	c=1 d=1.67686e-23 t=7478
bi yao 	必要	c=46 d=2.65117e-13 t=7478
bi yao xing 	必要性	c=1 d=1.67686e-23 t=7478
bi ye 	毕业	c=42 d=0.0177743 t=7478
bi ye hou 	毕业后	c=2 d=2.51529e-23 t=7478
bi ye zheng 	毕业证	c=1 d=1.67686e-23 t=7478
bi yong 	必用	c=1 d=1.67686e-23 t=7478
bi zhe ge 	比这个	c=1 d=1.67686e-23 t=7478
bi zhi 	壁纸	c=1 d=1.67686e-23 t=7478
bi zhong 	比重	c=2 d=2.51529e-23 t=7478
bi zi 	鼻子	c=1 d=1.67686e-23 t=7478
bian 	便	c=1 d=1.67686e-23 t=7478
bian 	变	c=390 d=1.3124e-08 t=7478
bian 	扁	c=4 d=4.19214e-23 t=7478
bian 	编	c=22 d=1.92839e-22 t=7478
bian 	辩	c=1 d=1.67686e-23 t=7478
bian 	边	c=27 d=2.34761e-22 t=7478
bian 	遍	c=4 d=4.19214e-23 t=7478
bian bian 	边边	c=4 d=4.19214e-23 t=7478
bian bie 	辨别	c=1 d=1.67686e-23 t=7478
bian cha 	变差	c=2 d=2.51529e-23 t=7478
bian chang 	变长	c=3 d=3.35372e-23 t=7478
bian cheng 	变成	c=226 d=0.000581442 t=7478
bian cheng 	编程	c=5 d=5.03059e-23 t=7478
