# Rime user dictionary
#@/db_name	rime_frost
#@/db_type	userdb
#@/rime_version	1.16.0
#@/tick	2174
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
bi dai 	必带	c=9 d=2.71265e-12 t=2174
bi de shang 	比得上	c=2 d=8.13795e-13 t=2174
bi deng 	壁灯	c=2 d=8.13795e-13 t=2174
bi ding 	必定	c=3 d=1.08506e-12 t=2174
bi dui 	比对	c=1 d=5.4253e-13 t=2174
bi fa 	必发	c=1 d=5.4253e-13 t=2174
bi guan 	闭馆	c=1 d=5.4253e-13 t=2174
bi hua 	笔画	c=1 d=5.4253e-13 t=2174
bi huan 	闭环	c=6 d=1.89885e-12 t=2174
bi hui 	必会	c=1 d=5.4253e-13 t=2174
bi hui 	避讳	c=1 d=5.4253e-13 t=2174
bi ji 	笔记	c=18 d=5.15403e-12 t=2174
bi ji ben 	笔记本	c=31 d=8.68048e-12 t=2174
bi jiang 	必将	c=2 d=8.13795e-13 t=2174
bi jiao 	比较	c=646 d=0.000285862 t=2174
bi jiao duo 	比较多	c=1 d=5.4253e-13 t=2174
bi jiao hao 	比较好	c=1 d=5.4253e-13 t=2174
bi jiao jiu 	比较就	c=1 d=5.4253e-13 t=2174
bi jie 	毕节	c=3 d=1.08506e-12 t=2174
bi jing 	毕竟	c=163 d=0.316637 t=2174
bi ju 	鼻疽	c=1 d=5.4253e-13 t=2174
bi kai 	避开	c=4 d=1.35632e-12 t=2174
bi lei 	避雷	c=3 d=1.08506e-12 t=2174
bi li 	比例	c=24 d=0.00474815 t=2174
bi li 	笔力	c=2 d=8.13795e-13 t=2174
bi lv 	比率	c=45 d=1.24782e-11 t=2174
bi mian 	避免	c=116 d=0.00185476 t=2174
bi neng 	必能	c=1 d=5.4253e-13 t=2174
bi ni 	比你	c=9 d=2.71265e-12 t=2174
bi qi lai 	比起来	c=1 d=5.4253e-13 t=2174
bi ran 	必然	c=6 d=1.89885e-12 t=2174
bi ren 	逼人	c=1 d=5.4253e-13 t=2174
bi ru 	比如	c=638 d=0.248557 t=2174
bi ru shuo 	比如说	c=1 d=5.4253e-13 t=2174
bi sai 	比赛	c=2 d=8.13795e-13 t=2174
bi she 	必设	c=1 d=5.4253e-13 t=2174
bi she 	毕设	c=1 d=5.4253e-13 t=2174
bi shi 	笔试	c=1 d=5.4253e-13 t=2174
bi shui 	避税	c=3 d=1.08506e-12 t=2174
bi si 	必死	c=2 d=8.13795e-13 t=2174
bi te bi 	比特币	c=3 d=1.08506e-12 t=2174
bi ti 	鼻涕	c=2 d=8.13795e-13 t=2174
bi tian 	必填	c=30 d=8.40921e-12 t=2174
bi wo 	比我	c=19 d=5.4253e-12 t=2174
bi wo duo 	比我多	c=1 d=5.4253e-13 t=2174
bi wo gao 	比我高	c=1 d=5.4253e-13 t=2174
bi xian 	必现	c=36 d=1.00368e-11 t=2174
bi xu 	必须	c=166 d=0.00341356 t=2174
bi xu chuan 	必须穿	c=1 d=5.4253e-13 t=2174
bi xu dao 	必须到	c=1 d=5.4253e-13 t=2174
bi xu pin 	必需品	c=1 d=5.4253e-13 t=2174
bi xu shi 	必须是	c=1 d=5.4253e-13 t=2174
bi xu yao 	必须要	c=1 d=5.4253e-13 t=2174
bi xuan 	必选	c=2 d=8.13795e-13 t=2174
bi ya di 	比亚迪	c=1 d=5.4253e-13 t=2174
bi yan 	鼻炎	c=3 d=1.08506e-12 t=2174
bi yang 	逼样	c=1 d=5.4253e-13 t=2174
bi yao 	必要	c=46 d=0.00857758 t=2174
bi yao xing 	必要性	c=1 d=5.4253e-13 t=2174
bi ye 	毕业	c=41 d=0.00740944 t=2174
bi ye hou 	毕业后	c=2 d=8.13795e-13 t=2174
bi ye zheng 	毕业证	c=1 d=5.4253e-13 t=2174
bi yong 	必用	c=1 d=5.4253e-13 t=2174
bi zhe ge 	比这个	c=1 d=5.4253e-13 t=2174
bi zhi 	壁纸	c=1 d=5.4253e-13 t=2174
bi zhong 	比重	c=2 d=8.13795e-13 t=2174
bi zi 	鼻子	c=1 d=5.4253e-13 t=2174
bian 	便	c=1 d=5.4253e-13 t=2174
bian 	变	c=386 d=1.04979e-10 t=2174
bian 	扁	c=4 d=1.35632e-12 t=2174
bian 	编	c=22 d=6.23909e-12 t=2174
bian 	辩	c=1 d=5.4253e-13 t=2174
bian 	边	c=27 d=7.59542e-12 t=2174
bian 	遍	c=4 d=1.35632e-12 t=2174
bian bian 	边边	c=4 d=1.35632e-12 t=2174
bian bie 	辨别	c=1 d=5.4253e-13 t=2174
bian cha 	变差	c=2 d=8.13795e-13 t=2174
