# Rime user dictionary
#@/db_name	zrm2000
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	12038
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
ggtm 	耕田	c=2 d=0.644043 t=12038
ggud 	更爽	c=2 d=1 t=12038
ggvp 	更准	c=3 d=0.267067 t=12038
ggxnl 	耕莘	c=1 d=8.07091e-09 t=12038
ggyj 	更严	c=1 d=0.402524 t=12038
ghfa 	刚发	c=3 d=0.897604 t=12038
ghjw 	刚加	c=3 d=0.154856 t=12038
ghmj 	刚满	c=1 d=4.9821e-10 t=12038
ghuh 	刚上	c=2 d=0.421052 t=12038
ghys 	刚用	c=2 d=0.00249118 t=12038
gjbaba 	干巴巴	c=1 d=0.856415 t=12038
gjbu 	干不	c=3 d=0.283418 t=12038
gjge 	干戈	c=4 d=0.263158 t=12038
gjho 	干活	c=9 d=0.635142 t=12038
gjjj 	凲	c=4 d=0.011763 t=12038
gjkl 	敢开	c=1 d=7.63639e-05 t=12038
gjma 	干嘛	c=75 d=4.19022 t=12038
gjmj 	干满	c=2 d=0.15932 t=12038
gjmo 	敢莫	c=1 d=4.87084e-09 t=12038
gjuo 	敢说	c=1 d=0.0156076 t=12038
gjw 	敢	c=1 d=4.03772e-08 t=12038
gjwo 	干我	c=1 d=0.0317456 t=12038
gkbc 	高标	c=2 d=0.0160165 t=12038
gkge 	搞个	c=21 d=0.194952 t=12038
gkll 	搞来	c=1 d=5.34243e-08 t=12038
gkua 	搞啥	c=1 d=0.00035443 t=12038
gkwo 	告我	c=1 d=0.169483 t=12038
gkyb 	高优	c=1 d=0.00106477 t=12038
glba 	改吧	c=1 d=0.000325548 t=12038
glco 	改错	c=6 d=0.348192 t=12038
glhb 	改后	c=2 d=0.000100873 t=12038
glia 	改查	c=1 d=1.25967e-10 t=12038
gllj 	概览	c=1 d=1.33366e-05 t=12038
glxw 	改下	c=34 d=1.64741 t=12038
gn, 	功能	c=2 d=0.227829 t=12038
gofa 	过法	c=1 d=0.0270518 t=12038
goigvs 	过程中	c=3 d=0.00199922 t=12038
goji 	国际	c=50 d=4.77324 t=12038
gonz 	国内	c=114 d=4.6244 t=12038
goqy 	国庆	c=11 d=0.134222 t=12038
gozl 	过载	c=9 d=0.33813 t=12038
gpbh 	棍棒	c=1 d=1.68317e-08 t=12038
grbi 	关闭	c=238 d=6.71342 t=12038
grti 	罐体	c=1 d=0.628135 t=12038
gsan 	公案	c=1 d=0.00406639 t=12038
gsfg 	工蜂	c=28 d=0.385835 t=12038
gspl 	工牌	c=2 d=0.22091 t=12038
gsss 	恭送	c=2 d=0.00117419 t=12038
gsxn 	公信	c=4 d=1.56302e-06 t=12038
gszouh 	工作上	c=1 d=0.00213348 t=12038
gtz, 	狗腿子	c=1 d=3.24035e-08 t=12038
gubk 	鼓包	c=1 d=0.000152248 t=12038
gufa 	古法	c=4 d=0.0148464 t=12038
gujij 	顾忌	c=1 d=1.81427e-08 t=12038
gvbm 	诡辩	c=1 d=0.000359786 t=12038
gvfjj 	规范	c=1 d=0.918512 t=12038
gvgu 	鬼谷	c=3 d=0.852689 t=12038
