# Rime user dictionary
#@/db_name	extended
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	615008
#@/user_id	c28f17ba-0bbb-4f45-89da-6c5d9fec0f91
bi xu pin 	必需品	c=1 d=2.04407e-205 t=615008
bi xu shi 	必须是	c=1 d=7.53558e-172 t=615008
bi xu yao 	必须要	c=1 d=6.3394e-256 t=615008
bi ya di 	比亚迪	c=1 d=4.94702e-162 t=615008
bi yan 	鼻炎	c=3 d=4.80549e-105 t=615008
bi yang 	逼样	c=1 d=0 t=615008
bi yao 	必要	c=46 d=1.3047e-15 t=615008
bi yao xing 	必要性	c=1 d=4.43156e-191 t=615008
bi ye 	毕业	c=41 d=0.0608101 t=615008
bi ye hou 	毕业后	c=2 d=2.67949e-213 t=615008
bi ye zheng 	毕业证	c=1 d=6.36942e-194 t=615008
bi zhe ge 	比这个	c=1 d=9.67156e-108 t=615008
bi zhi 	壁纸	c=1 d=1.64018e-174 t=615008
bi zhong 	比重	c=2 d=1.04075e-205 t=615008
bi zi 	鼻子	c=1 d=0 t=615008
bian 	便	c=1 d=2.13366e-239 t=615008
bian 	变	c=386 d=0.00507985 t=615008
bian 	扁	c=4 d=3.51575e-118 t=615008
bian 	编	c=22 d=5.51169e-22 t=615008
bian 	辩	c=1 d=1.73375e-209 t=615008
bian 	边	c=27 d=5.17355e-29 t=615008
bian 	遍	c=4 d=1.71823e-74 t=615008
bian bian 	边边	c=4 d=2.881e-125 t=615008
bian bie 	辨别	c=1 d=0 t=615008
bian cha 	变差	c=2 d=4.16369e-134 t=615008
bian chang 	变长	c=3 d=1.24257e-55 t=615008
bian cheng 	变成	c=225 d=0.451309 t=615008
bian cheng 	编程	c=5 d=1.0754e-61 t=615008
bian da 	变大	c=6 d=1.35124e-12 t=615008
bian de 	变得	c=4 d=1.07121e-162 t=615008
bian dong 	变动	c=24 d=1.70241e-24 t=615008
bian gao 	边高	c=1 d=1.7894e-169 t=615008
bian geng 	变更	c=77 d=3.2678e-19 t=615008
bian hao 	变好	c=2 d=5.55708e-89 t=615008
bian hao 	编号	c=4 d=1.20379e-35 t=615008
bian hei 	变黑	c=2 d=1.29193e-219 t=615008
bian hua 	变化	c=160 d=0.000324983 t=615008
bian hui 	变回	c=1 d=1.9418e-160 t=615008
bian ji 	编辑	c=70 d=0.0203434 t=615008
bian ji qi 	编辑器	c=22 d=3.21466e-32 t=615008
bian jie 	边界	c=8 d=3.33041e-07 t=615008
bian ka 	变卡	c=1 d=1.93909e-173 t=615008
bian kuang 	边框	c=12 d=6.85915e-95 t=615008
bian li 	便利	c=15 d=1.1369e-127 t=615008
bian li 	遍历	c=30 d=2.949e-76 t=615008
bian liang 	变量	c=74 d=1.31175e-16 t=615008
bian ma 	编码	c=75 d=7.09506e-16 t=615008
bian man 	变慢	c=7 d=3.3499e-45 t=615008
