# Rime user dictionary
#@/db_name	zrm2000
#@/db_type	userdb
#@/rime_version	1.13.0
#@/tick	6937
#@/user_id	mac
gufa 	古法	c=1 d=0.0148464 t=6937
gvbm 	诡辩	c=1 d=0.000359786 t=6937
gvfjj 	规范	c=1 d=0.918512 t=6937
gvxn 	归心	c=1 d=2.27205e-08 t=6937
gvzs 	归总	c=1 d=0.0192547 t=6937
gwmy 	挂名	c=1 d=0.0098528 t=6937
gzyi 	给以	c=1 d=0.0100518 t=6937
h 	和	c=1 d=0.0448245 t=6937
habo 	哈勃	c=45 d=1.2603 t=6937
hb 	后	c=130 d=11.7184 t=6937
hblt 	后略	c=1 d=5.50607e-10 t=6937
hbyi 	后移	c=2 d=1.91393 t=6937
hdc 	黄	c=1 d=1.70919e-12 t=6937
hedsli 	核动力	c=1 d=0.918512 t=6937
hejq 	喝酒	c=1 d=0.00499159 t=6937
helq 	合流	c=9 d=1.80863 t=6937
het 	何谈	c=1 d=0.00158052 t=6937
hf 	很	c=336 d=12.6531 t=6937
hfjm 	很贱	c=1 d=0.00456197 t=6937
hfng 	很能	c=1 d=0.00970611 t=6937
hfqr 	很全	c=1 d=0.0185924 t=6937
hfwf 	很稳	c=2 d=0.00914398 t=6937
hhhk 	行号	c=3 d=0.0953692 t=6937
hhub 	行首	c=4 d=0.279254 t=6937
hhwz 	行尾	c=1 d=0.0175975 t=6937
hjbk 	汉堡	c=3 d=0.417325 t=6937
hjk 	含	c=4 d=0.0150732 t=6937
hjsu 	寒素	c=2 d=0.151829 t=6937
hkbl 	好白	c=1 d=0.0168231 t=6937
hkdk 	好到	c=2 d=0.172907 t=6937
hkdoge 	好多个	c=3 d=0.0071546 t=6937
hkdu 	好读	c=1 d=2.99071e-06 t=6937
hkeexn 	好恶心	c=2 d=0.0859439 t=6937
hkgy 	好怪	c=8 d=0.090933 t=6937
hkhb 	好厚	c=1 d=0.0958472 t=6937
hkjige 	好几个	c=38 d=3.2136 t=6937
hkjn 	好进	c=1 d=0.416862 t=6937
hkjwho 	好家伙	c=2 d=1.66061e-08 t=6937
hkka 	好卡	c=9 d=1.04297 t=6937
hkkp 	好困	c=3 d=0.000761668 t=6937
hkkv 	好亏	c=1 d=0.00179994 t=6937
hkn 	好	c=1 d=1.67535e-12 t=6937
hkxd 	好像	c=947 d=24.3592 t=6937
hkzk 	好早	c=1 d=0.00355287 t=6937
hl 	还	c=359 d=17.6602 t=6937
hlbuco 	还不错	c=1 d=3.4753e-08 t=6937
hlbugb 	还不够	c=1 d=0.0232837 t=6937
hlbung 	还不能	c=2 d=1.21162 t=6937
hlde 	害得	c=1 d=6.72513e-10 t=6937
hlgb 	还够	c=1 d=3.39711e-05 t=6937
hlgj 	还干	c=1 d=0.00210172 t=6937
hlkeyi 	还可以	c=15 d=1.96363 t=6937
hlmj 	海满	c=1 d=0.0399551 t=6937
hlng 	还能	c=83 d=4.58577 t=6937
hluh 	还上	c=1 d=1.11147e-08 t=6937
hlwlbj 	海外版	c=1 d=0.111917 t=6937
hlwu 	还无	c=1 d=3.45856e-10 t=6937
hlxn 	还信	c=1 d=0.937067 t=6937
hlxuyk 	还需要	c=20 d=2.40254 t=6937
hlxx 	海协	c=1 d=0.697676 t=6937
hlyp 	海韵	c=2 d=0.101585 t=6937
hlzh 	海葬	c=1 d=0.0105145 t=6937
hlzy 	還	c=1 d=0.013912 t=6937
hn, 	还能	c=1 d=0.157237 t=6937
hoti 	货梯	c=1 d=0.00147367 t=6937
houv 	活水	c=5 d=0.262907 t=6937
hovl 	火宅	c=1 d=0.00256704 t=6937
hoytd 	活跃	c=1 d=0.000124028 t=6937
hozh 	火葬	c=1 d=3.38949e-08 t=6937
hrcpu 	缓存	c=1 d=6.85865e-06 t=6937
